age_ma,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90,run_91,run_92,run_93,run_94,run_95,run_96,run_97,run_98,run_99,run_100,run_101,run_102,run_103,run_104,run_105,run_106,run_107,run_108,run_109,run_110,run_111,run_112,run_113,run_114,run_115,run_116,run_117,run_118,run_119,run_120,run_121,run_122,run_123,run_124,run_125,run_126,run_127,run_128,run_129,run_130,run_131,run_132,run_133,run_134,run_135,run_136,run_137,run_138,run_139,run_140,run_141,run_142,run_143,run_144,run_145,run_146,run_147,run_148,run_149,run_150,run_151,run_152,run_153,run_154,run_155,run_156,run_157,run_158,run_159,run_160,run_161,run_162,run_163,run_164,run_165,run_166,run_167,run_168,run_169,run_170,run_171,run_172,run_173,run_174,run_175,run_176,run_177,run_178,run_179,run_180,run_181,run_182,run_183,run_184,run_185,run_186,run_187,run_188,run_189,run_190,run_191,run_192,run_193,run_194,run_195,run_196,run_197,run_198,run_199
101.604027,0.54201681,0.48319328,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.49579832,0.54201681,0.48319328,0.48319328,0.54201681,0.48319328,0.48319328,0.43697479,0.54201681,0.54201681,0.43697479,0.55462185,0.54201681,0.57983193,0.54201681,0.54201681,0.49579832,0.48319328,0.43697479,0.48319328,0.53361345,0.48319328,0.44957983,0.48319328,0.48319328,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.48319328,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.49579832,0.49579832,0.55462185,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.43697479,0.48319328,0.49579832,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.54201681,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.48319328,0.48319328,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.50840336,0.48319328,0.54201681,0.48319328,0.57983193,0.49579832,0.48319328,0.49579832,0.50840336,0.49579832,0.54201681,0.43697479,0.43697479,0.48319328,0.50840336,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.48319328,0.48319328,0.47899160,0.50840336,0.54201681,0.43697479,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.54201681,0.48319328,0.43697479,0.48319328,0.57983193,0.50840336,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.43697479,0.50840336,0.48319328,0.48319328,0.48319328,0.48319328,0.48319328,0.43697479,0.54201681,0.48319328,0.55462185,0.54201681,0.49579832,0.48319328,0.60084034,0.48319328,0.54201681,0.54201681,0.48319328,0.54201681,0.50840336,0.54201681,0.50840336,0.48319328,0.54201681,0.50840336,0.54201681,0.54201681,0.48319328,0.49579832,0.54201681,0.54201681,0.43697479,0.43697479,0.54201681,0.50840336,0.48319328,0.48319328,0.48319328,0.54201681
111.664430,0.54201681,0.48319328,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.49579832,0.54201681,0.48319328,0.48319328,0.54201681,0.48319328,0.48319328,0.43697479,0.54201681,0.54201681,0.43697479,0.55462185,0.54201681,0.57983193,0.54201681,0.54201681,0.49579832,0.48319328,0.43697479,0.48319328,0.53361345,0.48319328,0.44957983,0.48319328,0.52100840,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.49579832,0.49579832,0.56722689,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.48319328,0.48319328,0.49579832,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.54201681,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.48319328,0.48319328,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.50840336,0.48319328,0.54201681,0.50840336,0.57983193,0.49579832,0.48319328,0.49579832,0.50840336,0.49579832,0.54201681,0.43697479,0.43697479,0.48319328,0.50840336,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.48319328,0.48319328,0.47899160,0.50840336,0.54201681,0.43697479,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.55462185,0.49579832,0.54201681,0.50840336,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.54201681,0.48319328,0.43697479,0.48319328,0.57983193,0.50840336,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.43697479,0.50840336,0.48319328,0.48319328,0.48319328,0.48319328,0.48319328,0.43697479,0.54201681,0.48319328,0.55462185,0.54201681,0.49579832,0.48319328,0.60084034,0.48319328,0.54201681,0.54201681,0.48319328,0.54201681,0.50840336,0.54201681,0.50840336,0.48319328,0.54201681,0.50840336,0.54201681,0.54201681,0.48319328,0.49579832,0.54201681,0.54201681,0.43697479,0.43697479,0.54201681,0.50840336,0.48319328,0.48319328,0.48319328,0.54201681
121.724832,0.54201681,0.48319328,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.49579832,0.54201681,0.48319328,0.48319328,0.54201681,0.48319328,0.48319328,0.43697479,0.56722689,0.54201681,0.43697479,0.55462185,0.54201681,0.57983193,0.54201681,0.54201681,0.49579832,0.48319328,0.43697479,0.48319328,0.53361345,0.48319328,0.44957983,0.48319328,0.52100840,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.49579832,0.54201681,0.56722689,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.48319328,0.48319328,0.49579832,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.54201681,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.50840336,0.48319328,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.50840336,0.48319328,0.54201681,0.50840336,0.57983193,0.49579832,0.48319328,0.49579832,0.50840336,0.49579832,0.54201681,0.43697479,0.43697479,0.54201681,0.50840336,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.48319328,0.48319328,0.47899160,0.50840336,0.54201681,0.43697479,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.55462185,0.49579832,0.54201681,0.50840336,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.54201681,0.48319328,0.43697479,0.48319328,0.57983193,0.50840336,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.43697479,0.50840336,0.48319328,0.48319328,0.48319328,0.48319328,0.48319328,0.43697479,0.54201681,0.48319328,0.55462185,0.54201681,0.49579832,0.48319328,0.60084034,0.48319328,0.54201681,0.54201681,0.48319328,0.54201681,0.50840336,0.54201681,0.50840336,0.48319328,0.54201681,0.50840336,0.54201681,0.54201681,0.54201681,0.49579832,0.54201681,0.54201681,0.43697479,0.43697479,0.54201681,0.50840336,0.48319328,0.48319328,0.48319328,0.54201681
131.785235,0.54201681,0.48319328,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.49579832,0.54201681,0.48319328,0.48319328,0.54201681,0.48319328,0.48319328,0.43697479,0.56722689,0.54201681,0.43697479,0.55462185,0.54201681,0.57983193,0.54201681,0.54201681,0.49579832,0.48319328,0.43697479,0.48319328,0.53361345,0.52100840,0.44957983,0.48319328,0.52100840,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.49579832,0.54201681,0.56722689,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.48319328,0.48319328,0.49579832,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.54201681,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.50840336,0.48319328,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.50840336,0.48319328,0.54201681,0.50840336,0.57983193,0.49579832,0.54201681,0.49579832,0.50840336,0.49579832,0.54201681,0.43697479,0.43697479,0.54201681,0.50840336,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.48319328,0.48319328,0.47899160,0.50840336,0.54201681,0.43697479,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.55462185,0.49579832,0.54201681,0.50840336,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.54201681,0.48319328,0.43697479,0.48319328,0.57983193,0.54201681,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.43697479,0.50840336,0.48319328,0.48319328,0.48319328,0.48319328,0.48319328,0.43697479,0.54201681,0.48319328,0.55462185,0.54201681,0.49579832,0.48319328,0.60084034,0.48319328,0.54201681,0.54201681,0.48319328,0.54201681,0.50840336,0.54201681,0.50840336,0.48319328,0.54201681,0.50840336,0.54201681,0.54201681,0.54201681,0.49579832,0.54201681,0.54201681,0.43697479,0.49579832,0.54201681,0.50840336,0.48319328,0.48319328,0.48319328,0.54201681
141.845638,0.54201681,0.48319328,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.49579832,0.54201681,0.48319328,0.48319328,0.54201681,0.48319328,0.48319328,0.43697479,0.56722689,0.54201681,0.43697479,0.55462185,0.54201681,0.57983193,0.54201681,0.54201681,0.49579832,0.48319328,0.43697479,0.48319328,0.53361345,0.52100840,0.44957983,0.48319328,0.52100840,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.49579832,0.54201681,0.56722689,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.48319328,0.48319328,0.49579832,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.57983193,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.50840336,0.48319328,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.54201681,0.48319328,0.54201681,0.50840336,0.57983193,0.49579832,0.54201681,0.49579832,0.50840336,0.49579832,0.54201681,0.43697479,0.43697479,0.54201681,0.50840336,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.54201681,0.48319328,0.47899160,0.50840336,0.54201681,0.43697479,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.55462185,0.49579832,0.54201681,0.50840336,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.54201681,0.48319328,0.43697479,0.48319328,0.57983193,0.54201681,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.48319328,0.48319328,0.48319328,0.43697479,0.54201681,0.54201681,0.55462185,0.54201681,0.49579832,0.48319328,0.60084034,0.48319328,0.54201681,0.55462185,0.48319328,0.54201681,0.50840336,0.54201681,0.50840336,0.48319328,0.54201681,0.50840336,0.54201681,0.54201681,0.54201681,0.49579832,0.54201681,0.54201681,0.43697479,0.49579832,0.54201681,0.50840336,0.48319328,0.48319328,0.48319328,0.54201681
151.906040,0.54201681,0.48319328,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.50840336,0.54201681,0.48319328,0.48319328,0.54201681,0.48319328,0.48319328,0.43697479,0.56722689,0.54201681,0.43697479,0.55462185,0.54201681,0.57983193,0.54201681,0.54201681,0.49579832,0.48319328,0.48319328,0.48319328,0.53361345,0.52100840,0.44957983,0.48319328,0.52100840,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.49579832,0.54201681,0.56722689,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.48319328,0.48319328,0.49579832,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.57983193,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.50840336,0.48319328,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.54201681,0.48319328,0.54201681,0.50840336,0.57983193,0.49579832,0.54201681,0.49579832,0.50840336,0.49579832,0.54201681,0.43697479,0.43697479,0.54201681,0.54201681,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.54201681,0.48319328,0.47899160,0.50840336,0.54201681,0.43697479,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.55462185,0.49579832,0.54201681,0.50840336,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.54201681,0.48319328,0.48319328,0.48319328,0.60084034,0.54201681,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.48319328,0.48319328,0.48319328,0.43697479,0.54201681,0.54201681,0.55462185,0.54201681,0.49579832,0.48319328,0.60084034,0.48319328,0.54201681,0.55462185,0.48319328,0.54201681,0.54201681,0.54201681,0.50840336,0.48319328,0.54201681,0.50840336,0.54201681,0.54201681,0.54201681,0.49579832,0.54201681,0.54201681,0.43697479,0.49579832,0.54201681,0.50840336,0.48319328,0.48319328,0.48319328,0.54201681
161.966443,0.54201681,0.48319328,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.50840336,0.54201681,0.48319328,0.48319328,0.54201681,0.48319328,0.48319328,0.43697479,0.60084034,0.54201681,0.43697479,0.55462185,0.54201681,0.57983193,0.54201681,0.54201681,0.49579832,0.48319328,0.48319328,0.48319328,0.53361345,0.52100840,0.44957983,0.48319328,0.52100840,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.49579832,0.54201681,0.56722689,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.48319328,0.48319328,0.49579832,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.60084034,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.50840336,0.54201681,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.54201681,0.48319328,0.54201681,0.50840336,0.60084034,0.49579832,0.54201681,0.49579832,0.50840336,0.49579832,0.54201681,0.43697479,0.43697479,0.54201681,0.54201681,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.54201681,0.48319328,0.47899160,0.50840336,0.54201681,0.43697479,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.55462185,0.49579832,0.54201681,0.50840336,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.54201681,0.48319328,0.48319328,0.48319328,0.60084034,0.54201681,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.48319328,0.48319328,0.48319328,0.43697479,0.54201681,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.60084034,0.48319328,0.54201681,0.55462185,0.48319328,0.54201681,0.54201681,0.54201681,0.50840336,0.48319328,0.54201681,0.50840336,0.54201681,0.54201681,0.54201681,0.49579832,0.54201681,0.54201681,0.43697479,0.49579832,0.54201681,0.50840336,0.48319328,0.48319328,0.48319328,0.54201681
172.026846,0.54201681,0.54201681,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.50840336,0.54201681,0.48319328,0.48319328,0.54201681,0.48319328,0.48319328,0.43697479,0.60084034,0.54201681,0.43697479,0.55462185,0.54201681,0.57983193,0.55462185,0.54201681,0.49579832,0.48319328,0.48319328,0.48319328,0.53361345,0.52100840,0.44957983,0.48319328,0.52100840,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.49579832,0.54201681,0.56722689,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.48319328,0.48319328,0.54201681,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.60084034,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.50840336,0.54201681,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.54201681,0.48319328,0.54201681,0.54201681,0.60084034,0.49579832,0.54201681,0.49579832,0.50840336,0.49579832,0.54201681,0.43697479,0.43697479,0.54201681,0.54201681,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.54201681,0.48319328,0.47899160,0.50840336,0.54201681,0.49579832,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.55462185,0.49579832,0.54201681,0.50840336,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.54201681,0.48319328,0.48319328,0.48319328,0.60084034,0.54201681,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.48319328,0.48319328,0.48319328,0.43697479,0.54201681,0.54201681,0.60084034,0.54201681,0.49579832,0.49579832,0.60084034,0.48319328,0.54201681,0.55462185,0.48319328,0.54201681,0.54201681,0.54201681,0.50840336,0.48319328,0.54201681,0.50840336,0.54201681,0.54201681,0.54201681,0.49579832,0.54201681,0.54201681,0.43697479,0.49579832,0.54201681,0.50840336,0.48319328,0.50840336,0.48319328,0.54201681
182.087248,0.54201681,0.54201681,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.50840336,0.54201681,0.48319328,0.54201681,0.54201681,0.48319328,0.48319328,0.43697479,0.60084034,0.54201681,0.43697479,0.55462185,0.54201681,0.57983193,0.55462185,0.54201681,0.49579832,0.48319328,0.48319328,0.48319328,0.53361345,0.52100840,0.44957983,0.48319328,0.52100840,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.54201681,0.48319328,0.48319328,0.49579832,0.54201681,0.56722689,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.48319328,0.48319328,0.54201681,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.50840336,0.54201681,0.54201681,0.48319328,0.60084034,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.50840336,0.54201681,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.54201681,0.48319328,0.54201681,0.54201681,0.60084034,0.49579832,0.54201681,0.49579832,0.50840336,0.54201681,0.54201681,0.43697479,0.43697479,0.54201681,0.54201681,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.54201681,0.48319328,0.47899160,0.50840336,0.54201681,0.49579832,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.55462185,0.49579832,0.54201681,0.50840336,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.49579832,0.48319328,0.54201681,0.48319328,0.49579832,0.48319328,0.60084034,0.54201681,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.48319328,0.48319328,0.48319328,0.43697479,0.54201681,0.54201681,0.60084034,0.54201681,0.49579832,0.49579832,0.60084034,0.48319328,0.54201681,0.55462185,0.48319328,0.54201681,0.54201681,0.54201681,0.50840336,0.48319328,0.55462185,0.50840336,0.54201681,0.54201681,0.54201681,0.49579832,0.54201681,0.54201681,0.43697479,0.49579832,0.54201681,0.50840336,0.48319328,0.50840336,0.48319328,0.54201681
192.147651,0.54201681,0.54201681,0.54201681,0.53781513,0.48319328,0.54201681,0.49579832,0.60084034,0.50840336,0.54201681,0.50840336,0.54201681,0.54201681,0.48319328,0.48319328,0.43697479,0.60084034,0.54201681,0.43697479,0.60084034,0.54201681,0.57983193,0.55462185,0.54201681,0.49579832,0.48319328,0.48319328,0.48319328,0.53361345,0.52100840,0.44957983,0.48319328,0.52100840,0.48319328,0.49579832,0.54201681,0.43697479,0.49579832,0.54201681,0.48319328,0.49579832,0.48319328,0.54201681,0.48319328,0.54201681,0.48319328,0.48319328,0.49579832,0.54201681,0.56722689,0.54201681,0.48319328,0.48319328,0.54201681,0.50840336,0.50840336,0.43697479,0.48319328,0.54201681,0.47478992,0.48319328,0.48319328,0.54201681,0.48319328,0.43697479,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.54201681,0.49579832,0.54201681,0.48319328,0.50840336,0.54201681,0.54201681,0.48319328,0.60084034,0.55462185,0.48319328,0.54201681,0.43697479,0.50840336,0.54201681,0.43697479,0.50840336,0.54201681,0.48319328,0.50840336,0.48319328,0.54201681,0.48319328,0.49579832,0.54201681,0.48319328,0.54201681,0.54201681,0.60084034,0.49579832,0.54201681,0.49579832,0.55462185,0.54201681,0.54201681,0.49579832,0.43697479,0.54201681,0.54201681,0.48319328,0.49579832,0.43697479,0.49579832,0.54201681,0.48319328,0.54201681,0.48319328,0.47899160,0.50840336,0.54201681,0.49579832,0.48319328,0.50840336,0.48319328,0.48319328,0.55462185,0.48319328,0.60084034,0.49579832,0.54201681,0.50840336,0.43697479,0.48319328,0.48319328,0.48319328,0.48319328,0.54201681,0.60084034,0.54201681,0.54201681,0.48319328,0.54201681,0.54201681,0.49579832,0.48319328,0.60084034,0.54201681,0.49579832,0.54201681,0.49579832,0.54201681,0.49579832,0.48319328,0.54201681,0.54201681,0.48319328,0.49579832,0.46218487,0.48319328,0.54201681,0.48319328,0.50840336,0.48319328,0.48319328,0.48319328,0.54201681,0.48319328,0.43697479,0.54201681,0.54201681,0.60084034,0.54201681,0.49579832,0.49579832,0.60084034,0.54201681,0.54201681,0.55462185,0.48319328,0.54201681,0.54201681,0.54201681,0.50840336,0.48319328,0.55462185,0.50840336,0.54201681,0.54201681,0.54201681,0.49579832,0.54201681,0.54201681,0.43697479,0.49579832,0.54201681,0.50840336,0.48319328,0.50840336,0.48319328,0.54201681
